Company Name,Date,Positive,Neutral,Negative
Nissan Motor Co Ltd,20181101,6600,29,800
Nissan Motor Co Ltd,20181102,6685,42,945
Nissan Motor Co Ltd,20181103,7030,31,784
Nissan Motor Co Ltd,20181104,10702,20,582
Nissan Motor Co Ltd,20181105,7328,48,709
Nissan Motor Co Ltd,20181106,6415,31,814
Nissan Motor Co Ltd,20181107,6426,28,1020
Nissan Motor Co Ltd,20181108,6988,40,1059
Nissan Motor Co Ltd,20181109,6754,31,1065
Nissan Motor Co Ltd,20181110,6724,19,1143
Nissan Motor Co Ltd,20181111,5972,11,822
Nissan Motor Co Ltd,20181112,5700,29,812
Nissan Motor Co Ltd,20181113,5981,12,1373
Nissan Motor Co Ltd,20181114,5514,16,1726
Nissan Motor Co Ltd,20181115,5442,14,1429
Nissan Motor Co Ltd,20181116,6801,26,1815
Nissan Motor Co Ltd,20181117,6138,9,1573
Nissan Motor Co Ltd,20181118,5189,17,1412
Nissan Motor Co Ltd,20181119,5500,6,1259
Nissan Motor Co Ltd,20181120,5494,18,1432
Nissan Motor Co Ltd,20181121,5654,22,1464
Nissan Motor Co Ltd,20181122,5029,17,1406
Nissan Motor Co Ltd,20181123,5650,7,1477
Nissan Motor Co Ltd,20181124,5471,5,1238
Nissan Motor Co Ltd,20181125,4856,9,1024
Nissan Motor Co Ltd,20181126,4784,17,864
Nissan Motor Co Ltd,20181127,0,0,0
Nissan Motor Co Ltd,20181128,0,0,0
Nissan Motor Co Ltd,20181129,0,0,0
Nissan Motor Co Ltd,20181130,0,0,0
