Company Name,Date,Positive,Neutral,Negative
Sony Corp,20181001,1554,77,183
Sony Corp,20181002,2176,101,268
Sony Corp,20181003,2042,101,321
Sony Corp,20181004,2138,80,245
Sony Corp,20181005,2452,20,308
Sony Corp,20181006,2350,11,440
Sony Corp,20181007,1801,106,251
Sony Corp,20181008,1677,88,282
Sony Corp,20181009,1675,82,187
Sony Corp,20181010,3075,95,385
Sony Corp,20181011,2855,24,530
Sony Corp,20181012,3082,8,319
Sony Corp,20181013,3108,6,388
Sony Corp,20181014,2133,89,263
Sony Corp,20181015,1942,89,271
Sony Corp,20181016,2749,12,330
Sony Corp,20181017,2679,17,362
Sony Corp,20181018,2651,16,401
Sony Corp,20181019,3146,7,430
Sony Corp,20181020,2951,4,341
Sony Corp,20181021,2065,70,215
Sony Corp,20181022,1756,60,233
Sony Corp,20181023,2577,11,471
Sony Corp,20181024,2543,16,451
Sony Corp,20181025,2991,7,554
Sony Corp,20181026,3140,21,536
Sony Corp,20181027,2936,5,381
Sony Corp,20181028,2456,73,273
Sony Corp,20181029,2470,73,271
Sony Corp,20181030,2485,14,427
Sony Corp,20181031,2730,9,386
