Company Name,Date,Positive,Neutral,Negative
Hitachi Ltd,2018-11-01,3105,7,471
Hitachi Ltd,2018-11-02,3096,15,535
Hitachi Ltd,2018-11-03,3313,13,393
Hitachi Ltd,2018-11-04,2802,7,291
Hitachi Ltd,2018-11-05,3607,20,454
Hitachi Ltd,2018-11-06,3241,12,453
Hitachi Ltd,2018-11-07,3097,11,550
Hitachi Ltd,2018-11-08,3189,13,499
Hitachi Ltd,2018-11-09,2840,10,524
Hitachi Ltd,2018-11-10,3153,23,653
Hitachi Ltd,2018-11-11,2573,2,452
Hitachi Ltd,2018-11-12,2649,10,457
Hitachi Ltd,2018-11-13,2775,5,671
Hitachi Ltd,2018-11-14,2553,4,772
Hitachi Ltd,2018-11-15,2628,6,673
Hitachi Ltd,2018-11-16,3711,15,793
Hitachi Ltd,2018-11-17,2715,4,679
Hitachi Ltd,2018-11-18,2134,4,599
Hitachi Ltd,2018-11-19,2594,3,640
Hitachi Ltd,2018-11-20,2722,6,637
Hitachi Ltd,2018-11-21,2464,8,603
Hitachi Ltd,2018-11-22,2356,7,563
Hitachi Ltd,2018-11-23,2656,9,680
Hitachi Ltd,2018-11-24,2452,0,631
Hitachi Ltd,2018-11-25,2007,5,541
Hitachi Ltd,2018-11-26,3181,9,551
Hitachi Ltd,2018-11-27,2092,2,466
Hitachi Ltd,2018-11-28,2212,11,594
Hitachi Ltd,2018-11-29,2455,9,677
Hitachi Ltd,2018-11-30,2676,5,738
